id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
BSG	12	9.8363e-06	1.0199e-05	0.001804	107	3	-0.17849	0.70996	0.77935	0.985686	14925	1	-0.17849
AMZ1	12	1.0373e-05	1.1245e-05	0.001971	108	6	-0.3625	0.49489	0.60314	0.933646	12168	2	-0.3625
CDK6	12	1.0683e-05	1.1768e-05	0.002007	109	8	-0.6237	0.9849	0.97808	1.0	18288	0	-0.6237
ODF4	12	1.0755e-05	1.1768e-05	0.002007	110	3	-0.077415	0.0029733	0.0097862	0.218667	827	4	-0.077415
NKX2-6	12	1.0816e-05	1.1768e-05	0.002007	111	10	-0.59406	0.99996	0.99997	1.0	18895	0	-0.59406
ARHGAP15	12	1.1918e-05	1.386e-05	0.002302	112	8	-0.9226	0.94098	0.92817	1.0	17393	1	-0.9226
SLC6A8	12	1.1964e-05	1.386e-05	0.002302	113	8	-0.80134	0.071843	0.11879	0.530247	4229	2	-0.80134
LMBRD2	12	1.2013e-05	1.386e-05	0.002302	114	7	-0.58018	0.66275	0.75273	0.980326	14499	1	-0.58018
ANO8	12	1.2857e-05	1.4383e-05	0.002327	115	10	-0.72948	0.99992	0.99994	1.0	18887	0	-0.72948
DGKZ	12	1.3403e-05	1.4383e-05	0.002327	116	8	-0.80572	0.748	0.80259	0.991543	15292	2	-0.80572
LASP1	12	1.3608e-05	1.4383e-05	0.002327	117	8	-0.7611	0.99473	0.99219	1.0	18625	0	-0.7611
DENND3	12	1.4023e-05	1.4906e-05	0.002391	118	5	-0.21803	0.88105	0.89845	1.0	16838	1	-0.21803
RBFOX2	12	1.502e-05	1.6998e-05	0.002704	119	9	-0.81926	0.99945	0.99923	1.0	18851	0	-0.81926
HKDC1	12	1.6653e-05	1.909e-05	0.003012	120	9	-0.84584	0.76436	0.81254	0.992751	15454	1	-0.84584
CA9	12	1.726e-05	2.0136e-05	0.003124	121	9	-0.61395	0.99993	0.99994	1.0	18888	0	-0.61395
ZDHHC23	12	1.7467e-05	2.0136e-05	0.003124	122	8	-0.89621	0.8372	0.8721	1.0	16310	2	-0.89621
SOX7	12	1.7524e-05	2.0659e-05	0.00318	123	9	-0.96946	0.87239	0.89571	1.0	16789	1	-0.96946
UGT3A1	12	1.8201e-05	2.1705e-05	0.003287	124	10	-0.53537	0.91278	0.91133	1.0	17095	1	-0.53537
MYO1F	12	1.8329e-05	2.1705e-05	0.003287	125	6	-0.31515	0.88916	0.90072	1.0	16896	1	-0.31515
PTPN22	12	1.8446e-05	2.2228e-05	0.003313	126	10	-0.82196	0.96958	0.95573	1.0	17883	1	-0.82196
FOXI3	12	1.8549e-05	2.2228e-05	0.003313	127	9	-0.79341	0.99645	0.9948	1.0	18701	0	-0.79341
RAP2C	12	1.9004e-05	2.2751e-05	0.003339	128	9	-0.64413	0.95424	0.93623	1.0	17585	1	-0.64413
BPHL	12	1.9494e-05	2.2751e-05	0.003339	129	7	-0.6948	0.3254	0.44291	0.854407	9716	1	-0.6948
PDZK1IP1	12	2.1729e-05	2.5366e-05	0.003694	130	5	-0.42687	0.36328	0.48453	0.876503	10396	2	-0.42687
CEP164	12	2.1836e-05	2.5889e-05	0.003713	131	6	-0.60633	0.45834	0.57451	0.922931	11718	2	-0.60633
SMYD3	12	2.2244e-05	2.5889e-05	0.003713	132	7	-0.62609	0.5526	0.65018	0.949298	12924	3	-0.62609
ECEL1	12	2.3346e-05	2.7981e-05	0.003983	133	8	-0.77761	0.17233	0.25524	0.695447	6922	3	-0.77761
TRIM8	12	2.658e-05	3.3734e-05	0.004766	134	10	-0.79767	0.23348	0.32738	0.76561	8066	1	-0.79767
CBLB	12	2.6704e-05	3.4257e-05	0.004804	135	7	-0.87977	0.064582	0.10858	0.50894	4021	2	-0.87977
MBIP	12	2.7623e-05	3.478e-05	0.004841	136	7	-0.69848	0.7274	0.79087	0.988075	15094	1	-0.69848
FOXJ1	12	2.8054e-05	3.6349e-05	0.005023	137	7	-0.43636	0.34784	0.46631	0.868199	10128	2	-0.43636
FOXE1	12	2.879e-05	3.8441e-05	0.005188	138	10	-0.73219	0.7712	0.81668	0.992751	15511	1	-0.73219
CHN2	12	2.9216e-05	3.8441e-05	0.005188	139	7	-0.40257	0.89905	0.90425	1.0	16982	1	-0.40257
SAMD8	12	2.9268e-05	3.8441e-05	0.005188	140	10	-0.51993	0.7769	0.81875	0.993961	15578	1	-0.51993
ARHGAP30	12	3.0033e-05	3.8964e-05	0.005188	141	10	-0.58007	0.97539	0.96332	1.0	18019	0	-0.58007
ZNF474	12	3.0607e-05	3.8964e-05	0.005188	142	7	-0.63605	0.8626	0.89323	1.0	16721	2	-0.63605
SMARCD1	12	3.1376e-05	4.001e-05	0.005188	143	4	0.045092	0.0063404	0.013727	0.227968	1137	5	0.045092
UBXN7	12	3.1804e-05	4.001e-05	0.005188	144	2	0.22194	0.093401	0.14256	0.558536	4821	4	0.22194
ATF4	12	3.181e-05	4.001e-05	0.005188	145	6	-0.45875	0.35924	0.48006	0.876503	10319	3	-0.45875
RBP7	12	3.1874e-05	4.001e-05	0.005188	146	9	-0.67766	0.63229	0.72679	0.969821	14151	2	-0.67766
RASL12	12	3.5149e-05	4.4194e-05	0.005615	147	9	-0.69706	0.99694	0.99552	1.0	18721	0	-0.69706
KIF3C	12	3.5533e-05	4.4194e-05	0.005615	148	5	-0.12618	0.58604	0.68647	0.963203	13439	3	-0.12618
BLM	12	3.5548e-05	4.4194e-05	0.005615	149	7	-0.8068	0.99525	0.99276	1.0	18650	0	-0.8068
GNL1	12	3.6985e-05	4.6809e-05	0.005833	150	10	-0.73402	0.99897	0.99849	1.0	18821	0	-0.73402
USP10	12	3.7468e-05	4.7332e-05	0.005833	151	9	-0.91204	0.8574	0.88926	1.0	16625	1	-0.91204
ARL8B	12	3.75e-05	4.7332e-05	0.005833	152	7	-0.78395	0.99309	0.99021	1.0	18568	0	-0.78395
GATA4	12	3.8086e-05	4.8378e-05	0.005833	153	8	-0.63721	0.61777	0.71594	0.965564	13925	1	-0.63721
TMPO	12	3.8134e-05	4.8378e-05	0.005833	154	6	-0.60315	0.29682	0.40087	0.821309	9220	2	-0.60315
COA5	12	3.8576e-05	4.8378e-05	0.005833	155	6	-0.38194	0.32865	0.44589	0.854407	9787	2	-0.38194
LTA	12	3.8847e-05	4.8378e-05	0.005833	156	10	-0.64572	0.99895	0.99848	1.0	18817	0	-0.64572
ELOVL4	12	3.8943e-05	4.8378e-05	0.005833	157	10	-0.68983	0.98951	0.9839	1.0	18438	0	-0.68983
SDC3	12	4.0526e-05	5.047e-05	0.005972	158	10	-0.90293	0.4103	0.52702	0.890069	11145	1	-0.90293
RETREG1	12	4.068e-05	5.047e-05	0.005972	159	8	-0.86228	0.5537	0.65125	0.949975	12942	3	-0.86228
DOK7	12	4.0774e-05	5.047e-05	0.005972	160	7	-0.57391	0.21268	0.299	0.731357	7708	2	-0.57391
UBE2L6	12	4.3606e-05	5.4654e-05	0.006277	161	7	-0.6841	0.3748	0.49826	0.884425	10616	4	-0.6841
MAB21L2	12	4.3964e-05	5.4654e-05	0.006277	162	7	-0.63204	0.0030561	0.0099044	0.218667	837	3	-0.63204
NR4A1	12	4.4302e-05	5.4654e-05	0.006277	163	10	-0.5444	0.87495	0.89663	1.0	16803	1	-0.5444
GRIA1	12	4.4556e-05	5.4654e-05	0.006277	164	5	-0.21825	0.68127	0.76301	0.983357	14653	2	-0.21825
SMAGP	12	4.4898e-05	5.5177e-05	0.006277	165	9	-0.79332	0.937	0.92507	1.0	17335	1	-0.79332
CCSER1	12	4.4906e-05	5.5177e-05	0.006277	166	7	-0.55501	0.99785	0.99694	1.0	18761	0	-0.55501
SYT15	12	4.5565e-05	5.57e-05	0.006277	167	6	-0.41304	0.54379	0.64152	0.945107	12812	1	-0.41304
RXFP4	12	4.624e-05	5.57e-05	0.006277	168	9	-0.69293	0.98967	0.98403	1.0	18444	0	-0.69293
MYB	12	4.8474e-05	5.6746e-05	0.006357	169	9	-0.73033	0.99998	0.99999	1.0	18898	0	-0.73033
YTHDF2	12	4.9316e-05	5.7792e-05	0.006436	170	7	-0.76814	0.99976	0.99974	1.0	18871	0	-0.76814
ARL11	11	5.0168e-05	6.4591e-05	0.006908	171	6	-0.9677	0.3497	0.45963	0.861845	10160	3	-0.9677
SLC10A4	12	5.0676e-05	5.8315e-05	0.006456	172	9	-0.58827	1.0	1.0	1.0	18907	0	-0.58827
TMPRSS2	12	5.2625e-05	5.9884e-05	0.006591	173	8	-0.74348	0.99282	0.98952	1.0	18555	0	-0.74348
LYPD8	12	5.3664e-05	6.0407e-05	0.00661	174	8	-0.61927	0.99546	0.99301	1.0	18658	0	-0.61927
TCEAL2	12	5.4949e-05	6.093e-05	0.006629	175	7	-0.7107	0.86845	0.89431	1.0	16755	1	-0.7107
EIF2B3	12	5.7091e-05	6.3545e-05	0.006835	176	7	-0.64221	0.75099	0.80415	0.991688	15320	1	-0.64221
CDH11	12	5.726e-05	6.3545e-05	0.006835	177	5	-0.27064	0.091382	0.14013	0.554844	4770	2	-0.27064
STK38L	12	5.9206e-05	6.5114e-05	0.006925	178	9	-0.58496	0.99896	0.99848	1.0	18819	0	-0.58496
TREX1	12	6.0027e-05	6.616e-05	0.006997	179	7	-0.66972	0.97903	0.96872	1.0	18103	0	-0.66972
FAAP24	12	6.0892e-05	6.7206e-05	0.007068	180	9	-0.69137	0.94876	0.93312	1.0	17502	1	-0.69137
CALCR	12	6.2343e-05	6.8775e-05	0.007193	181	7	-0.75461	0.67075	0.75656	0.982071	14553	1	-0.75461
RPS4Y1	12	6.3593e-05	6.9821e-05	0.007263	182	4	-0.073974	0.18949	0.27417	0.710034	7293	3	-0.073974
ISL2	12	6.3883e-05	7.0867e-05	0.007331	183	8	-0.70507	0.55401	0.65125	0.949975	12947	3	-0.70507
TNNT2	12	6.4759e-05	7.1913e-05	0.007399	184	8	-0.74708	0.99181	0.98758	1.0	18521	0	-0.74708
SRR	12	6.5201e-05	7.2959e-05	0.007466	185	7	-0.54278	0.27072	0.37371	0.802615	8751	1	-0.54278
ZEB2	12	6.8188e-05	7.7143e-05	0.007852	186	8	-0.69707	0.98908	0.98336	1.0	18424	0	-0.69707
CD200R1	12	6.8693e-05	7.7666e-05	0.007863	187	9	-0.72209	0.99754	0.99653	1.0	18742	0	-0.72209
RORB	12	6.9746e-05	8.0281e-05	0.008084	188	5	-0.098568	0.93857	0.92676	1.0	17355	1	-0.098568
SPOCK3	12	7.0436e-05	8.0804e-05	0.008094	189	5	0.11784	0.043709	0.076108	0.446344	3225	4	0.11784
CAMK2D	12	7.1028e-05	9.5971e-05	0.009562	190	4	-0.15372	0.24415	0.33744	0.770485	8242	2	-0.15372
LRRC4B	12	7.1519e-05	9.754e-05	0.009622	191	7	-0.69815	0.00074848	0.0010886	0.046913	435	4	-0.69815
EPS8L1	12	7.4135e-05	9.8586e-05	0.009622	192	6	-0.32848	0.073812	0.1222	0.535715	4299	3	-0.32848
EPCAM	12	7.4407e-05	9.8586e-05	0.009622	193	6	-0.39897	0.18597	0.27131	0.707364	7242	3	-0.39897
USP9X	12	7.5e-05	9.9109e-05	0.009622	194	9	-0.70791	0.67332	0.75807	0.982073	14581	1	-0.70791
OPRD1	12	7.5086e-05	9.9109e-05	0.009622	195	8	-0.80988	0.83603	0.87029	1.0	16294	1	-0.80988
HERC1	12	7.6098e-05	0.0001012	0.009775	196	8	-0.74378	0.98561	0.97928	1.0	18301	0	-0.74378
EFS	12	7.7399e-05	0.00010382	0.00978	197	9	-0.55993	0.98835	0.98264	1.0	18397	0	-0.55993
EBF3	12	7.7886e-05	0.00010434	0.00978	198	9	-0.68776	0.99987	0.99988	1.0	18881	0	-0.68776
SEC22C	12	7.8328e-05	0.00010434	0.00978	199	3	0.3572	0.0046448	0.011812	0.2213	999	6	0.3572
BHLHE40	12	7.8542e-05	0.00010434	0.00978	200	7	-0.50482	0.83773	0.87255	1.0	16315	1	-0.50482
CA11	12	7.896e-05	0.00010486	0.00978	201	6	-0.3932	0.96966	0.95606	1.0	17886	1	-0.3932
RBPMS	12	7.9473e-05	0.00010539	0.00978	202	7	-0.5549	0.99773	0.99685	1.0	18755	0	-0.5549
VPS28	12	7.9515e-05	0.00010539	0.00978	203	8	-0.56037	0.14634	0.21915	0.653938	6253	2	-0.56037
RAB14	12	8.1118e-05	0.00010591	0.00978	204	7	-0.51425	0.52978	0.62611	0.93658	12616	2	-0.51425
FAM83A	12	8.1423e-05	0.00010591	0.00978	205	6	-0.53181	0.63521	0.73041	0.971502	14190	3	-0.53181
SMOC2	12	8.3008e-05	0.00010852	0.009973	206	7	-0.86786	0.98435	0.97616	1.0	18279	0	-0.86786
AP1S3	12	8.4497e-05	0.00011062	0.010018	207	7	-0.58103	8.0871e-05	0.00022881	0.02229	192	4	-0.58103
KCNV1	12	8.5611e-05	0.00011166	0.010018	208	7	-0.40258	0.040575	0.071398	0.434012	3098	2	-0.40258
NR2F1	12	8.7561e-05	0.00011218	0.010018	209	7	-0.67346	0.99786	0.99694	1.0	18762	0	-0.67346
KLF2	12	8.7626e-05	0.00011218	0.010018	210	9	-0.83088	0.99715	0.99602	1.0	18726	0	-0.83088
FGF10	12	8.8143e-05	0.00011218	0.010018	211	5	-0.24386	0.52518	0.62121	0.934082	12556	1	-0.24386
UPP1	12	8.9053e-05	0.00011218	0.010018	212	6	-0.40004	0.14047	0.21064	0.6502	6110	2	-0.40004
TRIB2	12	9.1369e-05	0.0001148	0.010107	213	7	-0.42514	0.35637	0.47668	0.87527	10267	2	-0.42514
EBF1	12	9.1671e-05	0.0001148	0.010107	214	6	-0.52557	0.75686	0.808	0.992742	15379	2	-0.52557
CASTOR1	12	9.2452e-05	0.00011532	0.010107	215	5	-0.27247	0.449	0.56651	0.920963	11609	2	-0.27247
RPGR	12	9.2471e-05	0.00011532	0.010107	216	6	-0.3744	0.97014	0.95636	1.0	17898	1	-0.3744
