id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CEP126	12	1.6238e-06	2.615e-07	7.2e-05	67	8	-0.84228	0.91539	0.92937	1.0	17049	1	-0.84228
UBASH3A	12	1.7727e-06	2.615e-07	7.2e-05	68	10	-0.80872	0.99471	0.99452	1.0	18611	0	-0.80872
WBP4	12	2.0087e-06	2.615e-07	7.2e-05	69	9	-0.73317	0.99933	0.99942	1.0	18835	0	-0.73317
LMBRD2	12	2.045e-06	2.615e-07	7.2e-05	70	9	-0.65221	0.97908	0.97654	1.0	18127	0	-0.65221
B4GALNT3	12	2.1261e-06	2.615e-07	7.2e-05	71	9	-0.69666	0.38391	0.57297	1.0	10655	1	-0.69666
FERMT1	12	2.3015e-06	7.8451e-07	0.000201	72	8	-0.71281	0.72744	0.81805	1.0	14916	1	-0.71281
MRPL17	12	2.5171e-06	7.8451e-07	0.000201	73	4	-0.31639	0.92042	0.9309	1.0	17106	1	-0.31639
SOX13	12	2.5997e-06	7.8451e-07	0.000201	74	10	-0.94091	0.99745	0.99744	1.0	18738	0	-0.94091
FUT4	12	2.7576e-06	7.8451e-07	0.000201	75	9	-0.79121	0.98776	0.98518	1.0	18406	0	-0.79121
UBASH3B	12	2.9776e-06	7.8451e-07	0.000201	76	9	-1.0724	0.97446	0.97021	1.0	17993	0	-1.0724
ARHGAP30	12	3.0157e-06	1.3075e-06	0.000317	77	10	-0.68212	0.99992	0.99994	1.0	18896	0	-0.68212
OTOG	12	3.0622e-06	1.3075e-06	0.000317	78	7	-0.49147	0.57195	0.71009	1.0	13134	1	-0.49147
CALN1	12	3.1591e-06	1.3075e-06	0.000317	79	10	-0.87915	0.36479	0.55469	1.0	10373	1	-0.87915
LAPTM5	12	3.5447e-06	1.8305e-06	0.000433	80	7	-0.7911	0.98743	0.98487	1.0	18391	0	-0.7911
ITPKC	12	3.9385e-06	2.8765e-06	0.000672	81	8	-1.0068	0.44152	0.60675	1.0	11367	1	-1.0068
PIK3C2B	12	4.0368e-06	3.3995e-06	0.000757	82	10	-0.62379	0.99997	0.99999	1.0	18903	0	-0.62379
ZNF423	12	4.1533e-06	3.3995e-06	0.000757	83	6	-0.52938	0.23567	0.38469	0.908177	7981	3	-0.52938
HDHD3	12	4.1711e-06	3.3995e-06	0.000757	84	7	-0.39971	0.82977	0.88448	1.0	16196	2	-0.39971
PATL2	6	4.1743e-06	7.0606e-06	0.001536	85	2	0.098931	0.39497	0.48862	0.980641	10793	2	0.098931
RLN2	12	4.2026e-06	3.3995e-06	0.000757	86	7	-0.72938	0.86506	0.90834	1.0	16655	1	-0.72938
PTPN22	12	4.5233e-06	3.9225e-06	0.000863	87	9	-0.93745	0.80959	0.8696	1.0	15900	1	-0.93745
FOXA3	12	4.6294e-06	2.3797e-05	0.005119	88	8	-0.99315	0.96526	0.95981	1.0	17748	1	-0.99315
EIF3K	12	5.0707e-06	2.4843e-05	0.005163	89	7	-0.73055	0.82548	0.88148	1.0	16127	2	-0.73055
C10orf82	12	5.262e-06	2.4843e-05	0.005163	90	7	-0.7533	0.29613	0.4642	0.969524	9029	4	-0.7533
COLQ	12	5.515e-06	2.4843e-05	0.005163	91	7	-0.7256	0.9997	0.99976	1.0	18866	0	-0.7256
B3GNT5	12	5.9339e-06	2.5366e-05	0.005163	92	6	-0.54962	0.9488	0.94456	1.0	17449	1	-0.54962
FRMD4B	12	6.194e-06	2.5366e-05	0.005163	93	9	-0.86439	0.85962	0.90757	1.0	16623	1	-0.86439
KLHDC8B	12	6.5277e-06	2.6412e-05	0.005208	94	6	-0.433	0.99861	0.99856	1.0	18804	0	-0.433
YTHDC1	12	6.6042e-06	2.6412e-05	0.005208	95	5	-0.24177	0.45676	0.61928	1.0	11585	3	-0.24177
SLC45A1	12	6.7417e-06	2.6412e-05	0.005208	96	10	-0.68632	0.99987	0.9999	1.0	18886	0	-0.68632
TRIM28	12	7.6853e-06	3.0073e-05	0.005869	97	8	-0.53486	0.93801	0.93997	1.0	17280	1	-0.53486
S100A2	12	8.0325e-06	3.1119e-05	0.006011	98	6	-0.26805	0.85938	0.9073	1.0	16621	1	-0.26805
PTPN7	12	8.7787e-06	3.7918e-05	0.007239	99	8	-0.84954	0.08578	0.17563	0.714595	4626	3	-0.84954
LCK	12	9.431e-06	3.8441e-05	0.007239	100	9	-1.084	0.6411	0.77709	1.0	14098	1	-1.084
CXCR4	12	1.0156e-05	3.9487e-05	0.007239	101	10	-0.44709	0.99974	0.99981	1.0	18871	0	-0.44709
ARHGAP15	12	1.0213e-05	3.9487e-05	0.007239	102	10	-0.75498	0.89259	0.91887	1.0	16863	1	-0.75498
SOX7	12	1.1869e-05	4.0533e-05	0.007239	103	9	-0.57419	0.95658	0.95159	1.0	17555	1	-0.57419
CD200R1	12	1.1999e-05	4.0533e-05	0.007239	104	9	-0.6877	0.89703	0.92091	1.0	16898	1	-0.6877
CPNE9	12	1.203e-05	4.0533e-05	0.007239	105	9	-0.62396	0.6409	0.77709	1.0	14097	1	-0.62396
HKDC1	12	1.2038e-05	4.0533e-05	0.007239	106	8	-0.6382	0.99783	0.99778	1.0	18758	0	-0.6382
PLSCR1	12	1.3103e-05	4.1056e-05	0.007264	107	9	-0.743	0.99999	0.99999	1.0	18906	0	-0.743
SEPT1	12	1.3482e-05	4.1579e-05	0.007288	108	5	-0.24586	0.41556	0.59311	1.0	11018	2	-0.24586
FIGLA	12	1.4291e-05	4.2625e-05	0.007336	109	2	0.25338	0.13066	0.24122	0.789439	5765	5	0.25338
ILF3	12	1.4424e-05	4.2625e-05	0.007336	110	10	-0.49942	1.0	1.0	1.0	18912	0	-0.49942
ADGRG6	12	1.4949e-05	4.3148e-05	0.007359	111	6	-0.52982	0.57929	0.71617	1.0	13232	2	-0.52982
SLA	12	1.5256e-05	4.7332e-05	0.007696	112	9	-0.64106	0.99988	0.99991	1.0	18890	0	-0.64106
HS3ST2	12	1.5456e-05	4.7855e-05	0.007696	113	6	-0.51287	0.057055	0.11568	0.581345	3760	4	-0.51287
FAM96A	12	1.5536e-05	4.7855e-05	0.007696	114	4	0.18333	0.2769	0.43693	0.949758	8686	3	0.18333
FCRL5	12	1.576e-05	4.7855e-05	0.007696	115	8	-0.84805	0.80071	0.86299	1.0	15796	2	-0.84805
DOK1	12	1.5883e-05	4.7855e-05	0.007696	116	5	-0.24331	0.21701	0.36813	0.903657	7670	2	-0.24331
FOXD4L6	12	1.6304e-05	4.8378e-05	0.007696	117	8	-0.70298	0.83705	0.89124	1.0	16312	1	-0.70298
MKS1	12	1.6534e-05	4.8378e-05	0.007696	118	7	-0.47241	0.91901	0.93064	1.0	17091	1	-0.47241
ANTXR2	12	1.7223e-05	4.8378e-05	0.007696	119	9	-0.63272	0.98347	0.9804	1.0	18260	0	-0.63272
MICU1	12	1.8485e-05	5.0993e-05	0.007929	120	6	-0.39712	0.99646	0.99638	1.0	18692	0	-0.39712
OSBPL5	12	1.9266e-05	5.1516e-05	0.007929	121	7	-0.6859	0.99964	0.99973	1.0	18856	0	-0.6859
OTUD4	12	1.9382e-05	5.1516e-05	0.007929	122	7	-0.41893	0.57712	0.71435	1.0	13203	2	-0.41893
SLC39A2	12	1.9514e-05	5.1516e-05	0.007929	123	9	-0.59779	0.99996	0.99997	1.0	18901	0	-0.59779
AHR	12	2.094e-05	5.4131e-05	0.008264	124	9	-0.58211	0.64866	0.77916	1.0	14152	1	-0.58211
PYGL	12	2.3006e-05	5.6223e-05	0.008328	125	9	-0.74701	0.84555	0.89628	1.0	16427	2	-0.74701
R3HCC1	12	2.3435e-05	5.6746e-05	0.008328	126	8	-0.66065	0.98441	0.98162	1.0	18299	0	-0.66065
RAX2	12	2.3631e-05	5.6746e-05	0.008328	127	9	-0.70027	0.99934	0.99944	1.0	18836	0	-0.70027
BCL2L2-PABPN1	12	2.3919e-05	5.6746e-05	0.008328	128	9	-0.77828	0.98612	0.98317	1.0	18350	0	-0.77828
SLCO5A1	12	2.4116e-05	5.6746e-05	0.008328	129	8	-0.88217	0.8105	0.8696	1.0	15910	1	-0.88217
RBMXL1	12	2.4874e-05	5.8838e-05	0.008513	130	7	-0.61163	0.98991	0.98804	1.0	18477	0	-0.61163
HEBP1	12	2.5482e-05	5.9361e-05	0.008513	131	7	-0.58003	0.79861	0.8601	1.0	15769	1	-0.58003
PRDM16	12	2.5782e-05	5.9361e-05	0.008513	132	7	-0.62228	0.94987	0.94588	1.0	17458	1	-0.62228
FGFR1	12	2.5898e-05	6.0407e-05	0.008598	133	9	-0.62743	0.97704	0.97472	1.0	18065	0	-0.62743
HOXD11	12	2.6411e-05	6.093e-05	0.008608	134	3	-0.17075	0.18376	0.32189	0.853943	7098	3	-0.17075
MSH6	12	2.6505e-05	6.1976e-05	0.008691	135	6	-0.40422	0.53101	0.67642	1.0	12550	3	-0.40422
FOXL2	12	2.7516e-05	6.3022e-05	0.008722	136	7	-0.85533	0.99025	0.98877	1.0	18491	0	-0.85533
EN2	12	2.8566e-05	6.3545e-05	0.008722	137	8	-0.67381	0.67706	0.79528	1.0	14420	1	-0.67381
SPRED2	12	2.9874e-05	6.4591e-05	0.008722	138	9	-0.60139	0.70565	0.80718	1.0	14690	2	-0.60139
ZNF445	12	2.9897e-05	6.4591e-05	0.008722	139	8	-0.77343	0.99053	0.98888	1.0	18496	0	-0.77343
ZEB1	12	3.0911e-05	6.5637e-05	0.008722	140	9	-0.72276	0.76337	0.83747	1.0	15316	2	-0.72276
SLAMF1	12	3.1271e-05	6.5637e-05	0.008722	141	9	-0.59429	1.0	1.0	1.0	18918	0	-0.59429
GALR1	12	3.178e-05	6.616e-05	0.008722	142	7	-0.73836	0.97904	0.97654	1.0	18125	0	-0.73836
PACSIN3	12	3.201e-05	6.616e-05	0.008722	143	9	-0.8061	0.89063	0.91785	1.0	16847	1	-0.8061
OPRD1	12	3.2817e-05	6.7206e-05	0.008722	144	6	-0.49663	0.0077913	0.01655	0.23558	1322	3	-0.49663
EHHADH	12	3.2933e-05	6.7729e-05	0.008722	145	5	-0.27859	0.9975	0.99753	1.0	18741	0	-0.27859
BPHL	12	3.3023e-05	6.7729e-05	0.008722	146	6	-0.3694	0.00038961	0.0008287	0.045825	339	2	-0.3694
CEBPB	12	3.69e-05	8.3942e-05	0.010455	147	8	-0.72596	0.74212	0.8256	1.0	15067	1	-0.72596
RBP4	12	3.7475e-05	8.3942e-05	0.010455	148	8	-0.65205	0.93423	0.93792	1.0	17244	1	-0.65205
KANK3	12	3.7545e-05	8.3942e-05	0.010455	149	9	-0.74549	0.99997	0.99999	1.0	18904	0	-0.74549
SRPK1	12	3.7743e-05	8.3942e-05	0.010455	150	6	-0.28012	0.78959	0.85151	1.0	15649	2	-0.28012
CD200	12	3.9803e-05	8.6034e-05	0.0105	151	9	-0.64573	0.58016	0.71678	1.0	13245	1	-0.64573
EXOSC6	12	3.9974e-05	8.6034e-05	0.0105	152	8	-0.69634	0.050867	0.10082	0.545459	3486	3	-0.69634
CEACAM4	12	4.091e-05	8.6557e-05	0.0105	153	7	-0.4273	0.99384	0.99367	1.0	18584	0	-0.4273
ATP2A2	12	4.1276e-05	8.708e-05	0.0105	154	9	-0.77213	0.95654	0.95159	1.0	17553	1	-0.77213
TRAPPC2L	12	4.131e-05	8.708e-05	0.0105	155	7	-0.70567	0.91724	0.92961	1.0	17062	1	-0.70567
SYNPO2L	12	4.2787e-05	8.9172e-05	0.010684	156	9	-0.52291	0.68282	0.79806	1.0	14463	2	-0.52291
XKR9	8	4.3919e-05	8.2896e-05	0.010455	157	4	-0.41779	0.19127	0.30585	0.846031	7222	2	-0.41779
MAGEB17	12	4.4579e-05	9.2833e-05	0.010909	158	5	-0.018592	0.72906	0.81893	1.0	14933	2	-0.018592
TMC7	12	4.4952e-05	9.3356e-05	0.010909	159	8	-0.70616	0.60679	0.7477	1.0	13647	1	-0.70616
GMIP	12	4.5005e-05	9.3356e-05	0.010909	160	7	-0.78928	0.31838	0.49245	0.980654	9450	2	-0.78928
RIPPLY1	12	4.507e-05	9.3356e-05	0.010909	161	8	-0.5196	0.82666	0.88213	1.0	16146	2	-0.5196
DDX55	12	4.5531e-05	9.4402e-05	0.010964	162	6	-0.41438	0.0066676	0.014174	0.219038	1223	4	-0.41438
SLC24A4	12	4.9948e-05	9.8586e-05	0.01138	163	4	-0.021976	0.57267	0.71039	1.0	13145	3	-0.021976
HSD17B11	12	5.1457e-05	9.9632e-05	0.011431	164	4	-0.15425	0.92912	0.93402	1.0	17178	1	-0.15425
SCUBE3	12	5.6393e-05	0.00010434	0.011816	165	9	-0.48438	0.97009	0.96531	1.0	17867	1	-0.48438
LASP1	12	5.707e-05	0.00010486	0.011816	166	7	-0.76582	0.99945	0.99956	1.0	18843	0	-0.76582
NRCAM	12	5.717e-05	0.00010486	0.011816	167	6	-0.55006	0.98863	0.98657	1.0	18429	0	-0.55006
BTBD2	12	5.7362e-05	0.00010591	0.011864	168	7	-0.49174	0.74498	0.82694	1.0	15113	1	-0.49174
HES3	12	5.8724e-05	0.00010695	0.01191	169	6	-0.43456	0.089552	0.17992	0.72066	4709	2	-0.43456
NDNF	12	5.9965e-05	0.00010905	0.012072	170	9	-0.71044	0.31987	0.49382	0.980953	9477	1	-0.71044
ANKRD12	12	6.3347e-05	0.00012003	0.013211	171	7	-0.74085	0.96612	0.96058	1.0	17769	1	-0.74085
RPLP2	12	6.5793e-05	0.00012317	0.013397	172	5	-0.045739	0.57424	0.71233	1.0	13162	3	-0.045739
CAMK4	12	6.706e-05	0.00012474	0.013397	173	9	-0.58118	0.33853	0.52157	0.994469	9863	1	-0.58118
TMSB15B	12	6.7814e-05	0.00012474	0.013397	174	6	-0.51487	0.29377	0.46212	0.968582	8980	2	-0.51487
PSD2	12	6.8972e-05	0.00012526	0.013397	175	8	-0.67527	0.84791	0.90039	1.0	16467	1	-0.67527
SCRT2	12	6.9366e-05	0.00012526	0.013397	176	8	-0.59208	0.93088	0.93661	1.0	17190	1	-0.59208
TMPRSS13	12	7.1107e-05	0.00012944	0.013553	177	8	-0.5993	0.423	0.5953	1.0	11113	1	-0.5993
CCDC179	12	7.2164e-05	0.00012997	0.013553	178	7	-0.38882	0.52212	0.66832	1.0	12420	3	-0.38882
RAP1A	12	7.2689e-05	0.00013049	0.013553	179	8	-0.64316	0.95882	0.95402	1.0	17601	1	-0.64316
HAUS7	12	7.2751e-05	0.00013049	0.013553	180	7	-0.5752	0.42978	0.59796	1.0	11212	2	-0.5752
PWP1	12	7.2935e-05	0.00013049	0.013553	181	6	-0.42219	0.91521	0.92913	1.0	17048	1	-0.42219
RALB	12	7.3381e-05	0.00013101	0.013553	182	8	-0.66725	0.90738	0.92555	1.0	16972	1	-0.66725
CSF3R	12	7.5244e-05	0.00013258	0.013601	183	7	-0.69991	0.38052	0.57209	1.0	10627	2	-0.69991
LIMD2	12	7.7513e-05	0.00013363	0.013601	184	8	-0.56003	0.53101	0.67642	1.0	12551	3	-0.56003
RORB	12	7.7695e-05	0.00013363	0.013601	185	4	-0.18036	0.14468	0.26515	0.817249	6129	4	-0.18036
LETM2	12	8.0228e-05	0.00014304	0.01438	186	7	-0.51623	0.38401	0.57297	1.0	10657	3	-0.51623
STK38L	12	8.0764e-05	0.00014356	0.01438	187	8	-0.62344	0.95954	0.95415	1.0	17615	1	-0.62344
NEUROG2	12	8.1148e-05	0.00014356	0.01438	188	9	-0.77571	1.0	1.0	1.0	18916	0	-0.77571
SALL4	12	8.2506e-05	0.00014461	0.014409	189	7	-0.52089	0.95071	0.9467	1.0	17470	1	-0.52089
ARAP3	12	8.3052e-05	0.00019587	0.018832	190	9	-0.57272	0.99992	0.99994	1.0	18897	0	-0.57272
LEMD1	12	8.3339e-05	0.00019587	0.018832	191	6	-0.27564	0.19273	0.33221	0.857843	7250	3	-0.27564
ADCY1	12	8.405e-05	0.00019639	0.018832	192	8	-0.70035	0.99784	0.99778	1.0	18759	0	-0.70035
MYCBP2	12	8.4966e-05	0.00019691	0.018832	193	8	-0.63771	0.9981	0.99806	1.0	18782	0	-0.63771
ANKRD49	12	8.5145e-05	0.00019691	0.018832	194	9	-0.51664	0.97023	0.96557	1.0	17868	1	-0.51664
OGFOD2	12	8.5205e-05	0.00019743	0.018832	195	9	-0.62686	0.54676	0.69013	1.0	12760	1	-0.62686
FAM187B	12	8.5678e-05	0.00019743	0.018832	196	9	-0.60655	0.8182	0.87472	1.0	16024	1	-0.60655
FSTL5	12	8.5814e-05	0.00019743	0.018832	197	8	-0.578	0.84417	0.89465	1.0	16411	2	-0.578
TBRG1	12	8.6366e-05	0.00019796	0.018832	198	6	-0.55666	0.027749	0.049752	0.365489	2561	3	-0.55666
COL4A3	12	9.0245e-05	0.00020162	0.019042	199	8	-0.59817	0.59115	0.72984	1.0	13406	2	-0.59817
GAST	12	9.1404e-05	0.00020319	0.019042	200	9	-0.49398	0.99601	0.99577	1.0	18662	0	-0.49398
CCT2	12	9.1454e-05	0.00020319	0.019042	201	8	-0.76083	0.96507	0.95955	1.0	17743	1	-0.76083
PPL	12	9.4414e-05	0.00020633	0.019241	202	8	-0.71743	0.80668	0.86756	1.0	15870	1	-0.71743
ZDHHC7	12	0.00010005	0.00021888	0.020312	203	9	-0.56694	0.60981	0.74911	1.0	13693	1	-0.56694
PC	12	0.00010579	0.00022411	0.020496	204	7	-0.60054	0.88514	0.91576	1.0	16797	1	-0.60054
ATP6V1H	12	0.00010616	0.00022411	0.020496	205	8	-0.74498	0.86363	0.90807	1.0	16639	1	-0.74498
KHDRBS2	12	0.00010648	0.00022411	0.020496	206	8	-0.6093	0.022578	0.043742	0.356471	2297	3	-0.6093
SP6	12	0.00010959	0.00023091	0.020963	207	9	-0.8235	0.77923	0.84495	1.0	15529	2	-0.8235
PINX1	12	0.00011	0.00023143	0.020963	208	5	-0.32175	0.017555	0.035032	0.323912	2034	2	-0.32175
OSBPL10	12	0.00011225	0.00023718	0.0212	209	2	-0.062398	0.083492	0.16974	0.701443	4572	5	-0.062398
GABRA4	12	0.00011289	0.00023771	0.0212	210	8	-0.57601	0.16459	0.30234	0.846031	6649	3	-0.57601
NUDT10	12	0.00011496	0.0002398	0.0212	211	6	-0.64398	0.020007	0.039151	0.340792	2166	3	-0.64398
FOXI3	12	0.00011553	0.00024032	0.0212	212	8	-0.75949	0.97124	0.96634	1.0	17893	1	-0.75949
MYO1F	12	0.00011627	0.0002411	0.0212	213	8	-0.52723	0.93588	0.93943	1.0	17258	1	-0.52723
CRTC3	12	0.00011682	0.00024189	0.0212	214	8	-0.76924	0.9988	0.99876	1.0	18810	0	-0.76924
PLD2	12	0.00011701	0.00024189	0.0212	215	8	-0.61757	0.13787	0.25159	0.797563	5948	2	-0.61757
SIGLEC6	12	0.00011869	0.00024607	0.021467	216	8	-0.70036	0.7274	0.81805	1.0	14915	1	-0.70036
SARDH	12	0.00012279	0.00025287	0.021904	217	9	-0.47999	0.99789	0.99784	1.0	18765	0	-0.47999
