sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
ZP4_234	ZP4	137.55	714.64	137.55	714.64	2.3688	1.6651e+05	7267.6	6.7693	1	6.8333e-12	1.3667e-11	1.2677e-09	True
CNBD1_130	CNBD1	4.2717	32.857	4.2717	32.857	2.6831	408.55	17.956	6.7458	1	9.0219e-12	1.8044e-11	1.6179e-09	True
TMEM258_56	TMEM258	100.81	530.4	100.81	530.4	2.3839	92274	4174.1	6.6492	1	1.5661e-11	3.1322e-11	2.6683e-09	True
GK2_121	GK2	13798	49427	13798	49427	1.8407	6.347e+08	2.88e+07	6.639	1	1.5871e-11	3.1742e-11	2.6683e-09	True
KRT82_362	KRT82	3168.7	12332	3168.7	12332	1.9601	4.1981e+07	2.0352e+06	6.423	1	6.77e-11	1.354e-10	1.1037e-08	True
CDX4_169	CDX4	586.08	2578.1	586.08	2578.1	2.1352	1.984e+06	97711	6.3727	1	9.5803e-11	1.9161e-10	1.5159e-08	True
RNASE9_97	RNASE9	134.99	654.79	134.99	654.79	2.2698	1.351e+05	7027.4	6.2007	1	2.9701e-10	5.9401e-10	4.5654e-08	True
SLC2A7_377	SLC2A7	5296.1	19242	5296.1	19242	1.8611	9.725e+07	5.1322e+06	6.1561	1	3.7638e-10	7.5276e-10	5.6248e-08	True
TMPRSS11A_205	TMPRSS11A	508.33	2182.6	508.33	2182.6	2.1	1.4016e+06	75664	6.0868	1	5.9527e-10	1.1905e-09	8.6556e-08	True
MAGEB3_153	MAGEB3	19485	63143	19485	63143	1.6962	9.5299e+08	5.3627e+07	5.9617	1	1.253e-09	2.506e-09	1.774e-07	True
GPRC6A_559	GPRC6A	232.38	1043.2	232.38	1043.2	2.1616	3.2872e+05	18574	5.9494	1	1.4079e-09	2.8159e-09	1.9422e-07	True
SPATA16_189	SPATA16	148.66	682.95	148.66	682.95	2.1923	1.4274e+05	8349.4	5.8473	1	2.6351e-09	5.2701e-09	3.5442e-07	True
IL21_138	IL21	11672	38361	11672	38361	1.7165	3.5616e+08	2.1304e+07	5.7824	1	3.7027e-09	7.4054e-09	4.8587e-07	True
NAA10_227	NAA10	741.57	2965.3	741.57	2965.3	1.9981	2.4726e+06	1.4915e+05	5.758	1	4.3755e-09	8.7509e-09	5.6047e-07	True
SSX5_18	SSX5	285.35	1221.6	285.35	1221.6	2.0941	4.3825e+05	26839	5.7147	1	5.7277e-09	1.1455e-08	7.1663e-07	True
ATP4B_16	ATP4B	5735.2	19212	5735.2	19212	1.7439	9.081e+07	5.9239e+06	5.537	1	1.5524e-08	3.1049e-08	1.8982e-06	True
IL36RN_284	IL36RN	17600	54428	17600	54428	1.6287	6.7816e+08	4.4647e+07	5.5117	1	1.7844e-08	3.5688e-08	2.1334e-06	True
KRTAP10-8_51	KRTAP10-8	16927	51886	16927	51886	1.6159	6.1105e+08	4.1617e+07	5.419	1	3.0105e-08	6.0211e-08	3.521e-06	True
COX15_537	COX15	30.756	151.38	30.756	151.38	2.2625	7274.6	510.46	5.3387	1	5.1244e-08	1.0249e-07	5.8658e-06	True
CLCA1_264	CLCA1	3122.6	10606	3122.6	10606	1.7637	2.7998e+07	1.9822e+06	5.3151	1	5.4022e-08	1.0804e-07	6.0549e-06	True
HSD17B10_147	HSD17B10	47.843	221.78	47.843	221.78	2.1894	15128	1111.3	5.2178	1	9.7935e-08	1.9587e-07	1.0753e-05	True
RFX6_326	RFX6	17592	52269	17592	52269	1.571	6.0127e+08	4.4608e+07	5.1921	1	1.044e-07	2.088e-07	1.1234e-05	True
COPB1_210	COPB1	70.056	310.97	70.056	310.97	2.1344	29019	2184.2	5.1547	1	1.3611e-07	2.7221e-07	1.4358e-05	True
VPREB1_76	VPREB1	4540	14605	4540	14605	1.6855	5.0651e+07	3.8888e+06	5.1039	1	1.6819e-07	3.3638e-07	1.7401e-05	True
MEP1A_178	MEP1A	31.611	149.03	31.611	149.03	2.2018	6893.6	535.59	5.0736	1	2.1349e-07	4.2698e-07	2.1671e-05	True
MORC1_284	MORC1	2440.8	8105.1	2440.8	8105.1	1.731	1.6042e+07	1.2722e+06	5.0219	1	2.5973e-07	5.1946e-07	2.5877e-05	True
MAGEB4_153	MAGEB4	896.2	3176.5	896.2	3176.5	1.8244	2.6e+06	2.0967e+05	4.98	1	3.2605e-07	6.5211e-07	3.1894e-05	True
BMP10_558	BMP10	19939	56948	19939	56948	1.514	6.8484e+08	5.5897e+07	4.9501	1	3.7223e-07	7.4446e-07	3.5761e-05	True
IFNW1_55	IFNW1	680.05	2423.2	680.05	2423.2	1.8317	1.5193e+06	1.2765e+05	4.8789	1	5.4916e-07	1.0983e-06	5.1833e-05	True
RESP18_142	RESP18	19335	53976	19335	53976	1.4811	6e+08	5.2883e+07	4.7635	1	9.5485e-07	1.9097e-06	8.8571e-05	True
SUN5_203	SUN5	12626	35842	12626	35842	1.5051	2.6949e+08	2.4544e+07	4.6861	1	1.3998e-06	2.7997e-06	0.00012765	True
MUC7_153	MUC7	1348.1	4422.8	1348.1	4422.8	1.7132	4.7266e+06	4.3705e+05	4.6508	1	1.6886e-06	3.3772e-06	0.00015141	True
MSGN1_179	MSGN1	110.21	434.18	110.21	434.18	1.9683	52478	4893.1	4.6314	1	1.9271e-06	3.8542e-06	0.00016996	True
F9_220	F9	488.68	1705	488.68	1705	1.8007	7.3975e+05	70491	4.5813	1	2.3887e-06	4.7774e-06	0.00020728	True
SIGLECL1_194	SIGLECL1	57.241	235.86	57.241	235.86	2.024	15953	1526.3	4.5721	1	2.6002e-06	5.2004e-06	0.00022205	True
KLK12_319	KLK12	33114	86445	33114	86445	1.3843	1.4221e+09	1.3942e+08	4.5167	1	3.1481e-06	6.2963e-06	0.00026464	True
RBX1_94	RBX1	9209.8	25929	9209.8	25929	1.4932	1.3976e+08	1.3903e+07	4.4839	1	3.6901e-06	7.3802e-06	0.00030543	True
KCNK16_346	KCNK16	21555	57086	21555	57086	1.4051	6.3124e+08	6.4324e+07	4.4302	1	4.7241e-06	9.4483e-06	0.00038509	True
MC2R_387	MC2R	14432	38784	14432	38784	1.4261	2.965e+08	3.1227e+07	4.3577	0.99999	6.6038e-06	1.3208e-05	0.00053027	True
SPATA21_960	SPATA21	7899.2	22016	7899.2	22016	1.4787	9.9647e+07	1.0545e+07	4.3474	0.99999	6.9394e-06	1.3879e-05	0.00054903	True
ENTHD1_361	ENTHD1	5589.9	15918	5589.9	15918	1.5096	5.3334e+07	5.6565e+06	4.3425	0.99999	7.109e-06	1.4218e-05	0.0005543	True
GLRA2_278	GLRA2	6859.5	19225	6859.5	19225	1.4867	7.645e+07	8.1778e+06	4.324	0.99999	7.7247e-06	1.5449e-05	0.00059369	True
IFNW1_60	IFNW1	1335.3	4147	1335.3	4147	1.6341	3.9527e+06	4.2961e+05	4.2897	0.99999	9.1353e-06	1.8271e-05	0.00069177	True
KRTAP26-1_107	KRTAP26-1	10404	28230	10404	28230	1.44	1.5888e+08	1.7318e+07	4.2835	0.99999	9.2579e-06	1.8516e-05	0.00069177	True
RTP1_228	RTP1	20217	52368	20217	52368	1.3731	5.1684e+08	5.7311e+07	4.2469	0.99999	1.0879e-05	2.1758e-05	0.00080177	True
CCDC172_161	CCDC172	14830	39053	14830	39053	1.3968	2.9336e+08	3.2796e+07	4.2296	0.99999	1.1761e-05	2.3523e-05	0.00085509	True
NLRP9_270	NLRP9	7497.7	20572	7497.7	20572	1.456	8.5467e+07	9.5989e+06	4.2199	0.99999	1.2315e-05	2.463e-05	0.00088341	True
MUC17_629	MUC17	13254	34833	13254	34833	1.3939	2.3282e+08	2.6786e+07	4.1693	0.99998	1.5354e-05	3.0708e-05	0.0010869	True
IL26_47	IL26	5198.7	14480	5198.7	14480	1.4777	4.3076e+07	4.9635e+06	4.1662	0.99998	1.564e-05	3.1279e-05	0.0010927	True
SLC32A1_404	SLC32A1	5947.9	16404	5947.9	16404	1.4634	5.4662e+07	6.3255e+06	4.1573	0.99998	1.6248e-05	3.2497e-05	0.0011207	True
TMPRSS11A_209	TMPRSS11A	27593	69181	27593	69181	1.326	8.6477e+08	1.0037e+08	4.1511	0.99998	1.6595e-05	3.3189e-05	0.0011301	True
KRTAP13-3_38	KRTAP13-3	4963.7	13747	4963.7	13747	1.4694	3.8574e+07	4.5668e+06	4.1101	0.99998	1.9976e-05	3.9952e-05	0.0013434	True
PSKH2_271	PSKH2	23904	59586	23904	59586	1.3177	6.3658e+08	7.7503e+07	4.053	0.99997	2.5361e-05	5.0723e-05	0.0016845	True
BRDT_230	BRDT	194.79	664.18	194.79	664.18	1.7644	1.1016e+05	13541	4.0337	0.99997	2.8808e-05	5.7617e-05	0.0018901	True
GHRH_74	GHRH	21204	52842	21204	52842	1.3173	5.0048e+08	6.2449e+07	4.0036	0.99997	3.1311e-05	6.2621e-05	0.0020295	True
RTP1_253	RTP1	17738	44446	17738	44446	1.3252	3.5666e+08	4.5277e+07	3.9692	0.99996	3.621e-05	7.242e-05	0.0023192	True
ACTL9_276	ACTL9	29107	70281	29107	70281	1.2718	8.4766e+08	1.105e+08	3.9169	0.99996	4.4983e-05	8.9966e-05	0.0028472	True
RPL27A_308	RPL27A	21129	51755	21129	51755	1.2925	4.69e+08	6.2051e+07	3.888	0.99995	5.0722e-05	0.00010144	0.0031731	True
KRTAP10-5_51	KRTAP10-5	24491	59138	24491	59138	1.2718	6.0021e+08	8.096e+07	3.8506	0.99994	5.9102e-05	0.0001182	0.0036548	True
POM121L12_260	POM121L12	10350	26147	10350	26147	1.3369	1.2477e+08	1.7157e+07	3.8137	0.99993	6.8892e-05	0.00013778	0.004196	True
C2orf83_160	C2orf83	24733	59330	24733	59330	1.2623	5.9847e+08	8.2411e+07	3.811	0.99993	6.9413e-05	0.00013883	0.004196	True
MRPL18_159	MRPL18	22428	53983	22428	53983	1.2671	4.9784e+08	6.9094e+07	3.7961	0.99993	7.375e-05	0.0001475	0.0044086	True
TRIM60_140	TRIM60	9964.2	25004	9964.2	25004	1.3273	1.131e+08	1.6021e+07	3.7575	0.99991	8.6379e-05	0.00017276	0.0051068	True
GJA8_619	GJA8	16748	40617	16748	40617	1.2781	2.8487e+08	4.0826e+07	3.7357	0.99991	9.4018e-05	0.00018804	0.005498	True
FAM47A_189	FAM47A	13003	31769	13003	31769	1.2887	1.7608e+08	2.5879e+07	3.6889	0.99989	0.00011321	0.00022642	0.0065491	True
CCT8L2_26	CCT8L2	5208.1	13381	5208.1	13381	1.3612	3.3398e+07	4.9796e+06	3.6625	0.99987	0.00012613	0.00025225	0.0072187	True
UBQLN3_373	UBQLN3	23262	54595	23262	54595	1.2308	4.9088e+08	7.3791e+07	3.6476	0.99987	0.00013282	0.00026565	0.0074656	True
CELA3A_30	CELA3A	22547	52991	22547	52991	1.2328	4.6342e+08	6.9755e+07	3.6452	0.99987	0.00013408	0.00026817	0.0074656	True
RBX1_96	RBX1	24007	56212	24007	56212	1.2274	5.1859e+08	7.8103e+07	3.6441	0.99987	0.0001346	0.00026921	0.0074656	True
FAM47A_180	FAM47A	17556	41814	17556	41814	1.252	2.9422e+08	4.4444e+07	3.6387	0.99986	0.00013758	0.00027516	0.0075529	True
SAP18_166	SAP18	936.36	1.1735	936.36	1.1735	-8.7525	4.3728e+05	2.2687e+05	3.6218	0.00014628	0.99985	0.00029256	0.0079493	False
TAS2R1_354	TAS2R1	32305	73925	32305	73925	1.1943	8.6612e+08	1.3334e+08	3.6044	0.99984	0.00015687	0.00031374	0.008432	True
POM121L12_272	POM121L12	34145	77865	34145	77865	1.1893	9.5573e+08	1.4733e+08	3.602	0.99984	0.0001583	0.00031659	0.008432	True
NR2E1_398	NR2E1	7378.1	18349	7378.1	18349	1.3143	6.0184e+07	9.3249e+06	3.5928	0.99984	0.00016485	0.0003297	0.0086363	True
TAS2R16_68	TAS2R16	6639.1	16613	6639.1	16613	1.3231	4.9736e+07	7.7106e+06	3.5918	0.99983	0.00016562	0.00033124	0.0086363	True
BMP15_177	BMP15	3783	9791.3	3783	9791.3	1.3717	1.805e+07	2.8001e+06	3.5906	0.99983	0.00016695	0.00033389	0.0086363	True
KRTAP15-1_60	KRTAP15-1	4425.5	11326	4425.5	11326	1.3556	2.381e+07	3.714e+06	3.5807	0.99983	0.00017319	0.00034638	0.0088739	True
TPRX1_166	TPRX1	12130	29210	12130	29210	1.2678	1.4586e+08	2.2833e+07	3.5744	0.99982	0.00017652	0.00035304	0.0089593	True
NR2E1_411	NR2E1	17923	42054	17923	42054	1.2304	2.9116e+08	4.6133e+07	3.5528	0.99981	0.00019137	0.00038275	0.0096223	True
POLR2A_1	POLR2A	6649.3	16491	6649.3	16491	1.3102	4.8425e+07	7.732e+06	3.5392	0.9998	0.00020237	0.00040474	0.010081	True
RPL27A_249	RPL27A	5302	17.602	5302	17.602	-8.1552	1.3963e+07	5.1426e+06	3.5334	0.00020514	0.99979	0.00041027	0.010125	False
TAS2R40_94	TAS2R40	194.79	601.98	194.79	601.98	1.6228	82904	13541	3.4992	0.99976	0.00024481	0.00048963	0.011866	True
LGALS14_43	LGALS14	3777.9	9618.8	3777.9	9618.8	1.348	1.7058e+07	2.7933e+06	3.4948	0.99976	0.00024003	0.00048006	0.01174	True
MBD3L1_112	MBD3L1	6347.7	15626	6347.7	15626	1.2995	4.3041e+07	7.1119e+06	3.4791	0.99975	0.00025378	0.00050756	0.012191	True
CABS1_103	CABS1	2470.8	6422.3	2470.8	6422.3	1.3778	7.8075e+06	1.3003e+06	3.4653	0.99973	0.00026888	0.00053777	0.012802	True
CDX2_808	CDX2	8933	21484	8933	21484	1.2659	7.876e+07	1.3159e+07	3.4598	0.99973	0.00027219	0.00054439	0.012846	True
RTP2_225	RTP2	14369	33596	14369	33596	1.2253	1.8484e+08	3.0981e+07	3.4543	0.99972	0.00027723	0.00055446	0.01297	True
CHAT_779	CHAT	17003	39053	17003	39053	1.1996	2.4309e+08	4.1955e+07	3.4042	0.99967	0.00033329	0.00066658	0.015458	True
VPREB1_94	VPREB1	2218.7	5725.3	2218.7	5725.3	1.3672	6.148e+06	1.0714e+06	3.3878	0.99964	0.00035807	0.00071614	0.016465	True
COPZ1_367	COPZ1	457.93	0	457.93	0	-8.8421	1.0485e+05	62723	3.3779	0.00036514	0.99963	0.00073029	0.016648	False
TAAR2_79	TAAR2	10015	23555	10015	23555	1.2338	9.1669e+07	1.6168e+07	3.3675	0.99962	0.00038176	0.00076352	0.017221	True
ASIC5_23	ASIC5	6464.8	15591	6464.8	15591	1.2699	4.164e+07	7.3498e+06	3.3661	0.99962	0.00038444	0.00076889	0.017221	True
ADAM30_283	ADAM30	153.78	470.56	153.78	470.56	1.6072	50173	8871.1	3.3633	0.99959	0.00040593	0.00081187	0.017901	True
RAN_136	RAN	14739	151.38	14739	151.38	-6.596	1.064e+08	3.2433e+07	3.3617	0.00038732	0.99961	0.00077464	0.017221	False
RPL19_52	RPL19	18353	234.69	18353	234.69	-6.283	1.6414e+08	4.8145e+07	3.3335	0.00042875	0.99957	0.0008575	0.018753	False
UROC1_663	UROC1	5238	12699	5238	12699	1.2775	2.7835e+07	5.0312e+06	3.3264	0.99956	0.00044426	0.00088852	0.019275	True
DMRT1_421	DMRT1	20534	45984	20534	45984	1.1631	3.2386e+08	5.894e+07	3.315	0.99954	0.00045991	0.00091982	0.019794	True
PRDM7_107	PRDM7	12602	28930	12602	28930	1.1988	1.333e+08	2.446e+07	3.3014	0.99952	0.00048355	0.00096711	0.020647	True
MUC17_627	MUC17	9391.8	21835	9391.8	21835	1.2171	7.7411e+07	1.4402e+07	3.2787	0.99948	0.00052485	0.0010497	0.02208	True
OTOP1_100	OTOP1	27521	60278	27521	60278	1.1311	5.3652e+08	9.9896e+07	3.2774	0.99947	0.00052531	0.0010506	0.02208	True
SIGLECL1_243	SIGLECL1	23322	51490	23322	51490	1.1426	3.9673e+08	7.4133e+07	3.2716	0.99946	0.00053659	0.0010732	0.022379	True
RPS19_305	RPS19	8779.2	97.397	8779.2	97.397	-6.4795	3.7687e+07	1.2754e+07	3.2625	0.00055211	0.99945	0.0011042	0.022734	False
EIF3A_455	EIF3A	328.07	0	328.07	0	-8.3622	53814	34470	3.2618	0.00055356	0.99945	0.0011071	0.022734	False
WDR33_1511	WDR33	311.83	0	311.83	0	-8.2893	48620	31470	3.2439	0.00058944	0.99941	0.0011789	0.023827	False
RPL19_65	RPL19	310.98	1.1735	310.98	1.1735	-7.1653	47990	31316	3.243	0.00059144	0.99941	0.0011829	0.023827	False
THOC2_556	THOC2	310.13	0	310.13	0	-8.2814	48089	31162	3.242	0.00059345	0.99941	0.0011869	0.023827	False
TBR1_484	TBR1	12987	29435	12987	29435	1.1804	1.3527e+08	2.5821e+07	3.2369	0.99939	0.00060733	0.0012147	0.024025	True
TONSL_637	TONSL	305	0	305	0	-8.2574	46512	30244	3.2361	0.0006058	0.99939	0.0012116	0.024025	False
HNRNPK_91	HNRNPK	12737	198.31	12737	198.31	-5.998	7.8614e+07	2.4934e+07	3.217	0.00064767	0.99935	0.0012953	0.025434	False
HTR6_776	HTR6	25180	54724	25180	54724	1.1199	4.3643e+08	8.5112e+07	3.2024	0.99932	0.0006836	0.0013672	0.026651	True
MT1B_17	MT1B	273.39	0	273.39	0	-8.1001	37371	24855	3.1975	0.00069323	0.99931	0.0013865	0.026832	False
TMPRSS11A_216	TMPRSS11A	15763	35048	15763	35048	1.1527	1.8594e+08	3.6606e+07	3.1873	0.99928	0.00072132	0.0014426	0.027654	True
IL3_90	IL3	10884	24694	10884	24694	1.1819	9.5357e+07	1.8784e+07	3.1863	0.99928	0.00072477	0.0014495	0.027654	True
NPVF_66	NPVF	2018	5045.9	2018	5045.9	1.3218	4.5841e+06	9.0322e+05	3.186	0.99927	0.00073361	0.0014672	0.027723	True
IQCF1_76	IQCF1	3824.9	9204.6	3824.9	9204.6	1.2667	1.4471e+07	2.8561e+06	3.1832	0.99926	0.00073687	0.0014737	0.027723	True
SLC22A25_550	SLC22A25	253.74	1.1735	253.74	1.1735	-6.8729	31895	21744	3.1709	0.00075971	0.99924	0.0015194	0.028384	False
UPF1_941	UPF1	249.47	0	249.47	0	-7.9685	31117	21093	3.1649	0.00077568	0.99922	0.0015514	0.02878	False
ADAM20_782	ADAM20	13117	29338	13117	29338	1.1613	1.3156e+08	2.6288e+07	3.1637	0.99922	0.00078293	0.0015659	0.02885	True
RFPL4B_152	RFPL4B	24645	53223	24645	53223	1.1107	4.0836e+08	8.1883e+07	3.1582	0.9992	0.00079636	0.0015927	0.028949	True
RPL27A_309	RPL27A	14102	280.46	14102	280.46	-5.6469	9.5514e+07	2.9951e+07	3.1581	0.00079391	0.99921	0.0015878	0.028949	False
ANKRD30A_612	ANKRD30A	16262	35904	16262	35904	1.1426	1.929e+08	3.872e+07	3.1566	0.9992	0.00080176	0.0016035	0.028949	True
FOXE3_335	FOXE3	24607	53048	24607	53048	1.1082	4.0447e+08	8.1653e+07	3.1475	0.99917	0.00082596	0.0016519	0.029624	True
RAN_147	RAN	8658.7	143.16	8658.7	143.16	-5.9086	3.6257e+07	1.2441e+07	3.1409	0.00084227	0.99916	0.0016845	0.030009	False
BHLHE23_194	BHLHE23	26411	56593	26411	56593	1.0995	4.5549e+08	9.2756e+07	3.1339	0.99913	0.00086517	0.0017303	0.030623	True
MBD3L1_117	MBD3L1	6528	15058	6528	15058	1.2057	3.6379e+07	7.4798e+06	3.1188	0.99908	0.00091559	0.0018312	0.032195	True
GBP7_107	GBP7	2662.1	6463.4	2662.1	6463.4	1.2794	7.2249e+06	1.4873e+06	3.117	0.99907	0.00092699	0.001854	0.032385	True
PCNA_78	PCNA	29225	1005.7	29225	1005.7	-4.8596	3.9817e+08	1.1132e+08	3.1086	0.00093985	0.99906	0.0018797	0.032559	False
RPS5_37	RPS5	15403	376.68	15403	376.68	-5.35	1.1289e+08	3.5112e+07	3.1073	0.00094408	0.99906	0.0018882	0.032559	False
MAGEC3_342	MAGEC3	8188.8	18591	8188.8	18591	1.1828	5.4103e+07	1.1251e+07	3.1012	0.99903	0.00097087	0.0019417	0.033269	True
PSMB2_272	PSMB2	17487	481.12	17487	481.12	-5.1808	1.4459e+08	4.4129e+07	3.0905	0.00099913	0.999	0.0019983	0.034021	False
UXT_86	UXT	199.06	0	199.06	0	-7.6443	19813	14077	3.0839	0.0010215	0.99898	0.0020431	0.034565	False
CST9_191	CST9	2376.8	5769.9	2376.8	5769.9	1.2792	5.7566e+06	1.2127e+06	3.0813	0.99895	0.0010468	0.0020936	0.035199	True
CCT5_296	CCT5	16185	451.78	16185	451.78	-5.1598	1.2377e+08	3.8391e+07	3.0727	0.0010606	0.99894	0.0021211	0.03544	False
PIWIL1_3	PIWIL1	99.103	294.54	99.103	294.54	1.5619	19097	4048.9	3.0714	0.99887	0.001133	0.002266	0.037626	True
SPINK14_83	SPINK14	21.358	71.581	21.358	71.581	1.6988	1261.1	270.03	3.0562	0.99876	0.0012408	0.0024816	0.039424	True
F9_217	F9	314.4	860.14	314.4	860.14	1.4491	1.4892e+05	31936	3.0539	0.99882	0.0011757	0.0023513	0.038511	True
TSPYL6_348	TSPYL6	1248.2	3128.4	1248.2	3128.4	1.3249	1.7677e+06	3.8048e+05	3.0482	0.99882	0.0011763	0.0023526	0.038511	True
EIF4A3_174	EIF4A3	19040	638.36	19040	638.36	-4.8963	1.6931e+08	5.144e+07	3.0396	0.0011843	0.99882	0.0023685	0.038511	False
UPF1_938	UPF1	4967.1	89.183	4967.1	89.183	-5.7837	1.1897e+07	4.5725e+06	3.0386	0.0011882	0.99881	0.0023765	0.038511	False
GPRC6A_543	GPRC6A	12256	26905	12256	26905	1.1343	1.0729e+08	2.3264e+07	3.0371	0.9988	0.001201	0.002402	0.038605	True
UBA1_1240	UBA1	20121	705.25	20121	705.25	-4.8324	1.8848e+08	5.6819e+07	3.0343	0.0012055	0.99879	0.002411	0.038605	False
CCT6A_85	CCT6A	33382	1576	33382	1576	-4.4039	5.0583e+08	1.4146e+08	3.0244	0.0012457	0.99875	0.0024915	0.039424	False
NLRP5_437	NLRP5	14902	32231	14902	32231	1.1129	1.5015e+08	3.3083e+07	3.0128	0.9987	0.0013003	0.0026007	0.040911	True
FLG2_449	FLG2	161.47	0	161.47	0	-7.344	13036	9679.9	3.0077	0.001316	0.99868	0.002632	0.041163	False
ERCC3_383	ERCC3	29007	1353	29007	1353	-4.4211	3.8236e+08	1.0982e+08	3.0016	0.0013429	0.99866	0.0026858	0.041761	False
RPS5_35	RPS5	20092	778	20092	778	-4.6889	1.8652e+08	5.6676e+07	2.9998	0.0013507	0.99865	0.0027013	0.041762	False
CFHR5_184	CFHR5	157.2	0	157.2	0	-7.3056	12356	9226.7	2.9979	0.0013592	0.99864	0.0027184	0.041786	False
PRPF38B_366	PRPF38B	153.78	0	153.78	0	-7.2741	11824	8871.1	2.9898	0.0013957	0.9986	0.0027913	0.042234	False
NANOGNB_8	NANOGNB	153.78	0	153.78	0	-7.2741	11824	8871.1	2.9898	0.0013957	0.9986	0.0027913	0.042234	False
TMEM258_68	TMEM258	152.93	0	152.93	0	-7.2661	11693	8783.2	2.9878	0.0014051	0.99859	0.0028101	0.042234	False
SSU72_153	SSU72	11375	345	11375	345	-5.0391	6.0827e+07	2.0336e+07	2.9878	0.0014052	0.99859	0.0028104	0.042234	False
