sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
KRTAP10-9_68638	KRTAP10-9	42389	534.66	42389	534.66	-6.3063	8.7589e+08	1.2712e+09	2.7092	0.0033726	0.99663	0.0067451	0.093487	False
SPATA16_65515	SPATA16	6117.3	20446	6117.3	20446	1.7407	1.0265e+08	2.8197e+07	2.6983	0.99602	0.0039812	0.0079624	0.10819	True
DNM2_64938	DNM2	59985	1.9442e+05	59985	1.9442e+05	1.6965	9.0365e+09	2.517e+09	2.6796	0.99583	0.0041686	0.0083371	0.10976	True
DMP1_34407	DMP1	44557	1.4483e+05	44557	1.4483e+05	1.7006	5.0272e+09	1.4022e+09	2.6777	0.9958	0.0041973	0.0083946	0.10976	True
HTR3C_52811	HTR3C	3936.7	13143	3936.7	13143	1.7389	4.2374e+07	1.1848e+07	2.6745	0.99572	0.0042827	0.0085654	0.10992	True
MUC17_30914	MUC17	45831	1.4826e+05	45831	1.4826e+05	1.6937	5.2461e+09	1.4822e+09	2.6606	0.99558	0.0044166	0.0088332	0.1113	True
SPATA21_74014	SPATA21	16491	53080	16491	53080	1.6864	6.6939e+08	1.984e+08	2.5977	0.99466	0.0053382	0.010676	0.12756	True
RPL11_60200	RPL11	94500	1792.6	94500	1792.6	-5.7194	4.2974e+09	6.1553e+09	2.5724	0.0050504	0.99495	0.010101	0.125	False
NANOGNB_55671	NANOGNB	8823.8	169.93	8823.8	169.93	-5.6901	3.7445e+07	5.7971e+07	2.5585	0.0052558	0.99474	0.010512	0.12756	False
ACTB_44177	ACTB	27515	576.11	27515	576.11	-5.5753	3.6286e+08	5.4319e+08	2.5329	0.0056566	0.99434	0.011313	0.13199	False
RPL19_39605	RPL19	42092	907.68	42092	907.68	-5.5337	8.4807e+08	1.2537e+09	2.5239	0.0058027	0.9942	0.011605	0.13199	False
POLR2A_42514	POLR2A	1.3677e+05	2990.4	1.3677e+05	2990.4	-5.5148	8.9487e+09	1.274e+10	2.5235	0.0058093	0.99419	0.011619	0.13199	False
POLR2C_32858	POLR2C	6202.1	134.7	6202.1	134.7	-5.5145	1.8407e+07	2.8971e+07	2.5147	0.0059568	0.99404	0.011914	0.13316	False
ZG16_45624	ZG16	48964	1272.4	48964	1272.4	-5.265	1.1373e+09	1.6882e+09	2.4571	0.0070032	0.993	0.014006	0.15407	False
SF3B2_23465	SF3B2	63655	1684.8	63655	1684.8	-5.2388	1.9202e+09	2.8289e+09	2.4514	0.0071154	0.99288	0.014231	0.15409	False
RPS5_28962	RPS5	59718	1.8202e+05	59718	1.8202e+05	1.6078	7.4784e+09	2.495e+09	2.4484	0.99188	0.008115	0.01623	0.17042	True
PSMB2_66174	PSMB2	79.477	0	79.477	0	-6.3305	3158.3	5559.1	2.4352	0.0074414	0.99256	0.014883	0.15867	False
MUC17_30915	MUC17	48578	1.472e+05	48578	1.472e+05	1.5994	4.8635e+09	1.6621e+09	2.4191	0.99119	0.0088068	0.017614	0.1795	True
POLR3A_39138	POLR3A	60454	1858.9	60454	1858.9	-5.0226	1.7167e+09	2.5559e+09	2.3956	0.0082959	0.9917	0.016592	0.17161	False
TMPRSS11F_11766	TMPRSS11F	19333	58603	19333	58603	1.5999	7.7109e+08	2.7125e+08	2.3844	0.99028	0.0097222	0.019444	0.18979	True
POLR1A_22178	POLR1A	18562	625.84	18562	625.84	-4.8882	1.6085e+08	2.5039e+08	2.3565	0.0092251	0.99077	0.01845	0.18334	False
POLR3A_39137	POLR3A	59989	2053.7	59989	2053.7	-4.8677	1.6783e+09	2.5173e+09	2.3551	0.0092598	0.99074	0.01852	0.18334	False
TREML4_14191	TREML4	21212	63614	21212	63614	1.5844	8.9896e+08	3.2557e+08	2.35	0.98933	0.010666	0.021332	0.20181	True
FAM47C_63213	FAM47C	36212	1.0739e+05	36212	1.0739e+05	1.5682	2.533e+09	9.3248e+08	2.3308	0.9888	0.011201	0.022403	0.20181	True
DDX21_21260	DDX21	19055	696.3	19055	696.3	-4.7723	1.6852e+08	2.6365e+08	2.3258	0.010015	0.98999	0.020029	0.19278	False
SPATA16_65513	SPATA16	26751	79471	26751	79471	1.5708	1.3897e+09	5.1392e+08	2.3256	0.98863	0.011374	0.022749	0.20181	True
CXorf66_37078	CXorf66	35085	1.0345e+05	35085	1.0345e+05	1.56	2.3371e+09	8.7622e+08	2.3096	0.98815	0.011852	0.023704	0.20181	True
SSX5_30421	SSX5	7466.5	22356	7466.5	22356	1.582	1.1085e+08	4.1734e+07	2.3048	0.98791	0.012085	0.02417	0.20181	True
CHAT_2090	CHAT	64553	1.8785e+05	64553	1.8785e+05	1.541	7.6005e+09	2.908e+09	2.2863	0.98743	0.012572	0.025144	0.20743	True
MEP1B_56772	MEP1B	1187.3	47.663	1187.3	47.663	-4.61	6.4942e+05	1.1213e+06	2.2801	0.011301	0.9887	0.022601	0.20181	False
POLR3A_39140	POLR3A	14909	615.48	14909	615.48	-4.5961	1.0215e+08	1.6269e+08	2.2775	0.011377	0.98862	0.022754	0.20181	False
LSG1_4325	LSG1	20126	853.8	20126	853.8	-4.5574	1.8572e+08	2.936e+08	2.2679	0.011666	0.98833	0.023333	0.20181	False
TUBG1_9535	TUBG1	15620	673.5	15620	673.5	-4.5335	1.117e+08	1.783e+08	2.2606	0.011892	0.98811	0.023784	0.20181	False
PUF60_66564	PUF60	89334	3927	89334	3927	-4.5073	3.6472e+09	5.5107e+09	2.2596	0.011922	0.98808	0.023845	0.20181	False
TREML4_14193	TREML4	1070.8	3230.7	1070.8	3230.7	1.5923	2.3328e+06	9.1513e+05	2.2579	0.98621	0.013788	0.027577	0.21921	True
POLR2A_42513	POLR2A	20404	893.17	20404	893.17	-4.5123	1.9034e+08	3.0163e+08	2.2556	0.012048	0.98795	0.024095	0.20181	False
F9_64055	F9	53169	1.5356e+05	53169	1.5356e+05	1.5301	5.0388e+09	1.9853e+09	2.253	0.98627	0.013726	0.027452	0.21921	True
VPREB1_59282	VPREB1	13271	38864	13271	38864	1.5501	3.2752e+08	1.2939e+08	2.25	0.98608	0.013918	0.027836	0.21921	True
POLR3A_39139	POLR3A	67608	3166.5	67608	3166.5	-4.4158	2.0764e+09	3.185e+09	2.2333	0.012765	0.98723	0.025531	0.20815	False
F13B_21476	F13B	49617	1.4226e+05	49617	1.4226e+05	1.5196	4.2916e+09	1.7328e+09	2.2256	0.98526	0.014738	0.029476	0.2252	True
TPRX1_57752	TPRX1	52221	1.4919e+05	52221	1.4919e+05	1.5145	4.7019e+09	1.9163e+09	2.2153	0.98487	0.015133	0.030266	0.2252	True
TRMT112_74247	TRMT112	9848.9	501.5	9848.9	501.5	-4.2929	4.3686e+07	7.1963e+07	2.1924	0.014177	0.98582	0.028353	0.22077	False
DDX21_21259	DDX21	80142	4409.9	80142	4409.9	-4.1834	2.8677e+09	4.4507e+09	2.1686	0.015058	0.98494	0.030116	0.2252	False
EIF4A3_2695	EIF4A3	76680	4264.8	76680	4264.8	-4.168	2.6219e+09	4.0803e+09	2.164	0.015233	0.98477	0.030467	0.2252	False
CCT6A_70205	CCT6A	25536	1409.2	25536	1409.2	-4.1786	2.9104e+08	4.6898e+08	2.1629	0.015274	0.98473	0.030547	0.2252	False
RAN_24251	RAN	94723	5379.7	94723	5379.7	-4.1378	3.9911e+09	6.1838e+09	2.1562	0.015535	0.98447	0.031069	0.22664	False
COPB1_14160	COPB1	18870	1067.2	18870	1067.2	-4.1429	1.5847e+08	2.5863e+08	2.1517	0.015712	0.98429	0.031424	0.22685	False
TAAR2_48598	TAAR2	10276	29189	10276	29189	1.5061	1.7885e+08	7.8226e+07	2.1384	0.98149	0.018514	0.037027	0.24736	True
DHX8_29850	DHX8	71725	4391.2	71725	4391.2	-4.0295	2.2669e+09	3.5778e+09	2.1237	0.016846	0.98315	0.033692	0.2407	False
USP5_40056	USP5	57324	3620.3	57324	3620.3	-3.9846	1.442e+09	2.302e+09	2.1098	0.017439	0.98256	0.034879	0.24465	False
ACTB_44179	ACTB	56726	3589.3	56726	3589.3	-3.9819	1.4117e+09	2.255e+09	2.1089	0.017475	0.98252	0.03495	0.24465	False
TTI1_75614	TTI1	24778	1581.2	24778	1581.2	-3.9691	2.6905e+08	4.4199e+08	2.1021	0.01777	0.98223	0.03554	0.2463	False
NUF2_34198	NUF2	19946	1297.3	19946	1297.3	-3.9415	1.7388e+08	2.8844e+08	2.0933	0.018163	0.98184	0.036325	0.24736	False
SIGLECL1_16396	SIGLECL1	1.414e+05	9466.4	1.414e+05	9466.4	-3.9007	8.7034e+09	1.3602e+10	2.0887	0.018368	0.98163	0.036737	0.24736	False
NAA10_44500	NAA10	1.3027e+05	8801.1	1.3027e+05	8801.1	-3.8875	7.3768e+09	1.1575e+10	2.0844	0.018561	0.98144	0.037122	0.24736	False
USP5_40054	USP5	43026	2919.9	43026	2919.9	-3.8808	8.0426e+08	1.3091e+09	2.0781	0.018852	0.98115	0.037704	0.24746	False
KRTAP13-2_12938	KRTAP13-2	67891	4671	67891	4671	-3.8611	1.9984e+09	3.2113e+09	2.074	0.019041	0.98096	0.038083	0.24746	False
PSMB2_66175	PSMB2	68858	4789.1	68858	4789.1	-3.8455	2.0524e+09	3.3018e+09	2.0694	0.019256	0.98074	0.038513	0.24746	False
ERCC3_20603	ERCC3	50876	3556.1	50876	3556.1	-3.8382	1.1196e+09	1.8203e+09	2.066	0.019414	0.98059	0.038827	0.24746	False
POLR1A_22180	POLR1A	18503	1284.8	18503	1284.8	-3.8471	1.4823e+08	2.4883e+08	2.065	0.019461	0.98054	0.038922	0.24746	False
EIF3A_36782	EIF3A	5141.9	358.51	5141.9	358.51	-3.8385	1.144e+07	2.0036e+07	2.0587	0.01976	0.98024	0.039519	0.24897	False
SF3B2_23466	SF3B2	9706.8	692.16	9706.8	692.16	-3.8079	4.0632e+07	6.9934e+07	2.0512	0.020122	0.97988	0.040244	0.25125	False
GABRA6_60556	GABRA6	56540	1.533e+05	56540	1.533e+05	1.439	4.6814e+09	2.2405e+09	2.0442	0.97685	0.023155	0.046309	0.26387	True
LALBA_73700	LALBA	669.05	47.663	669.05	47.663	-3.7834	1.9306e+05	3.6302e+05	2.043	0.020526	0.97947	0.041053	0.25401	False
KCNK18_63627	KCNK18	15482	42468	15482	42468	1.4557	3.6412e+08	1.7522e+08	2.0387	0.9764	0.0236	0.0472	0.26387	True
MBL2_67329	MBL2	56191	1.5209e+05	56191	1.5209e+05	1.4365	4.5986e+09	2.2134e+09	2.0384	0.97652	0.02348	0.046961	0.26387	True
KRT84_35487	KRT84	19369	52830	19369	52830	1.4475	5.598e+08	2.7226e+08	2.0279	0.9758	0.024196	0.048393	0.26593	True
CCT5_23762	CCT5	75565	5802.5	75565	5802.5	-3.7028	2.4334e+09	3.9645e+09	2.0267	0.021348	0.97865	0.042696	0.25962	False
SSX5_30422	SSX5	6333.1	476.63	6333.1	476.63	-3.7292	1.7149e+07	3.0188e+07	2.0263	0.021368	0.97863	0.042736	0.25962	False
KRTAP4-4_54199	KRTAP4-4	52350	4041	52350	4041	-3.6951	1.1669e+09	1.9256e+09	2.0229	0.021542	0.97846	0.043083	0.25962	False
RTP1_11476	RTP1	25337	1972.8	25337	1972.8	-3.6822	2.7295e+08	4.6183e+08	2.0163	0.021884	0.97812	0.043768	0.26076	False
ARIH1_35169	ARIH1	2010	155.42	2010	155.42	-3.6844	1.7198e+06	3.1578e+06	2.0107	0.022181	0.97782	0.044362	0.26076	False
KRTAP10-5_60371	KRTAP10-5	48927	1.3143e+05	48927	1.3143e+05	1.4256	3.4034e+09	1.6857e+09	2.0095	0.97482	0.025182	0.050363	0.26848	True
RPL11_60203	RPL11	97339	7810.6	97339	7810.6	-3.6394	4.0077e+09	6.5244e+09	2.0083	0.022307	0.97769	0.044614	0.26076	False
TBL3_66081	TBL3	18488	1467.2	18488	1467.2	-3.6546	1.4486e+08	2.4844e+08	2.0067	0.022389	0.97761	0.044777	0.26076	False
FAM47C_63212	FAM47C	6744	18373	6744	18373	1.4458	6.762e+07	3.4161e+07	1.9897	0.97338	0.026622	0.053243	0.27229	True
GRWD1_16464	GRWD1	5453.1	449.69	5453.1	449.69	-3.5971	1.2517e+07	2.2491e+07	1.9854	0.02355	0.97645	0.0471	0.26387	False
CYP2A13_26621	CYP2A13	75568	6382.7	75568	6382.7	-3.5653	2.3933e+09	3.9647e+09	1.9844	0.023607	0.97639	0.047214	0.26387	False
ZG16_45621	ZG16	22853	61357	22853	61357	1.4248	7.413e+08	3.7697e+08	1.9832	0.97311	0.02689	0.053779	0.27229	True
TRHR_67759	TRHR	66632	1.7692e+05	66632	1.7692e+05	1.4088	6.0815e+09	3.0952e+09	1.9823	0.97318	0.026819	0.053637	0.27229	True
ACTRT1_33703	ACTRT1	4941	13464	4941	13464	1.446	3.6319e+07	1.8525e+07	1.9802	0.97274	0.027263	0.054526	0.27229	True
CATSPER4_14643	CATSPER4	36386	97123	36386	97123	1.4164	1.8445e+09	9.4131e+08	1.9796	0.97294	0.02706	0.05412	0.27229	True
POLR1A_22177	POLR1A	10297	880.74	10297	880.74	-3.5459	4.4336e+07	7.8551e+07	1.9712	0.024348	0.97565	0.048696	0.26593	False
POLR2A_42512	POLR2A	10085	872.45	10085	872.45	-3.5295	4.2439e+07	7.5402e+07	1.9661	0.024645	0.97535	0.049291	0.26593	False
COPB1_14159	COPB1	45654	4012	45654	4012	-3.508	8.6702e+08	1.471e+09	1.9645	0.024735	0.97527	0.049469	0.26593	False
POLR2C_32859	POLR2C	42400	3726	42400	3726	-3.508	7.4782e+08	1.2718e+09	1.9642	0.024751	0.97525	0.049503	0.26593	False
IL1F10_20888	IL1F10	75178	1.9796e+05	75178	1.9796e+05	1.3968	7.5372e+09	3.9246e+09	1.9599	0.97174	0.028258	0.056516	0.27846	True
REG3A_26655	REG3A	8434.2	22686	8434.2	22686	1.4274	1.0155e+08	5.3042e+07	1.9568	0.97127	0.02873	0.057459	0.27846	True
HTR3C_52809	HTR3C	6019.5	16195	6019.5	16195	1.4277	5.1772e+07	2.7318e+07	1.9469	0.97055	0.029446	0.058893	0.2801	True
PASD1_22674	PASD1	64145	5962.1	64145	5962.1	-3.4272	1.6927e+09	2.872e+09	1.9403	0.02617	0.97383	0.05234	0.27229	False
CRNN_73874	CRNN	32526	85833	32526	85833	1.3999	1.4208e+09	7.5493e+08	1.9401	0.97031	0.029692	0.059385	0.2801	True
UBA1_19534	UBA1	16279	1512.8	16279	1512.8	-3.4268	1.0902e+08	1.934e+08	1.9352	0.026482	0.97352	0.052963	0.27229	False
RPS5_28964	RPS5	98180	9300.6	98180	9300.6	-3.3999	3.9498e+09	6.6357e+09	1.9333	0.0266	0.9734	0.0532	0.27229	False
HNRNPU_59640	HNRNPU	11793	1125.3	11793	1125.3	-3.3884	5.6899e+07	1.0257e+08	1.9219	0.027307	0.97269	0.054614	0.27229	False
RTP2_43554	RTP2	1.0409e+05	2.6865e+05	1.0409e+05	2.6865e+05	1.3678	1.3539e+10	7.4448e+09	1.9071	0.96812	0.03188	0.06376	0.29659	True
SSU72_26275	SSU72	33657	3355.1	33657	3355.1	-3.3261	4.5909e+08	8.0742e+08	1.9055	0.028359	0.97164	0.056717	0.27846	False
AFM_7361	AFM	423.88	1156.4	423.88	1156.4	1.4457	2.6826e+05	1.4804e+05	1.9037	0.96707	0.032928	0.065855	0.29801	True
CLTC_65729	CLTC	71220	7217.9	71220	7217.9	-3.3025	2.0482e+09	3.5284e+09	1.9007	0.028673	0.97133	0.057345	0.27846	False
TPRX1_57755	TPRX1	1.312e+05	3.3699e+05	1.312e+05	3.3699e+05	1.3609	2.1175e+10	1.1739e+10	1.8994	0.96758	0.032418	0.064836	0.29801	True
TBL3_66080	TBL3	33405	3440.1	33405	3440.1	-3.2792	4.4894e+08	7.9558e+08	1.8902	0.029362	0.97064	0.058725	0.2801	False
PRPF38B_47122	PRPF38B	32590	3392.4	32590	3392.4	-3.2637	4.2626e+08	7.5786e+08	1.8851	0.029708	0.97029	0.059415	0.2801	False
IL17F_4116	IL17F	26843	69582	26843	69582	1.3741	9.1333e+08	5.1738e+08	1.879	0.96581	0.034192	0.068383	0.30075	True
CSN2_38994	CSN2	43220	1.1114e+05	43220	1.1114e+05	1.3626	2.3064e+09	1.3207e+09	1.8689	0.96509	0.034909	0.069818	0.30075	True
RPS4X_42350	RPS4X	25303	2808	25303	2808	-3.1712	2.5301e+08	4.6061e+08	1.8538	0.031884	0.96812	0.063768	0.29659	False
AFM_7359	AFM	9112.8	23645	9112.8	23645	1.3755	1.0559e+08	6.1765e+07	1.8491	0.96326	0.036745	0.07349	0.30496	True
KRTAP10-8_52257	KRTAP10-8	61330	1.56e+05	61330	1.56e+05	1.3468	4.481e+09	2.6293e+09	1.8462	0.96332	0.036679	0.073358	0.30496	True
TBL3_66083	TBL3	1.6073e+05	18570	1.6073e+05	18570	-3.1135	1.0105e+10	1.7502e+10	1.8416	0.032765	0.96724	0.065529	0.29801	False
TTI1_75617	TTI1	75467	8761.8	75467	8761.8	-3.1064	2.2248e+09	3.9543e+09	1.8362	0.033163	0.96684	0.066326	0.29801	False
BUD31_48592	BUD31	1.4896e+05	17432	1.4896e+05	17432	-3.095	8.65e+09	1.507e+10	1.8351	0.033245	0.96675	0.066491	0.29801	False
CER1_11091	CER1	16324	41909	16324	41909	1.3602	3.2728e+08	1.9446e+08	1.8347	0.96215	0.037853	0.075706	0.3096	True
RPS19_67766	RPS19	14235	1639.2	14235	1639.2	-3.1176	7.9327e+07	1.4854e+08	1.834	0.033328	0.96667	0.066655	0.29801	False
KRTAP10-4_30358	KRTAP10-4	16611	42613	16611	42613	1.3591	3.3806e+08	2.0124e+08	1.833	0.96201	0.037992	0.075984	0.3096	True
EFCAB3_5708	EFCAB3	9031.9	23264	9031.9	23264	1.3649	1.0127e+08	6.0691e+07	1.8268	0.96138	0.038617	0.077234	0.3096	True
TRMT112_74246	TRMT112	98370	11854	98370	11854	-3.0528	3.7425e+09	6.661e+09	1.8192	0.034443	0.96556	0.068886	0.30075	False
TMEM258_21225	TMEM258	58667	7060.4	58667	7060.4	-3.0546	1.3316e+09	2.4094e+09	1.8178	0.034549	0.96545	0.069099	0.30075	False
UBTF_54880	UBTF	39601	4782.9	39601	4782.9	-3.0493	6.0614e+08	1.1119e+09	1.8145	0.034798	0.9652	0.069596	0.30075	False
ZNF679_56193	ZNF679	17509	2109.6	17509	2109.6	-3.0524	1.1857e+08	2.2321e+08	1.8127	0.034936	0.96506	0.069871	0.30075	False
MC5R_60416	MC5R	1.078e+05	2.6923e+05	1.078e+05	2.6923e+05	1.3204	1.3029e+10	7.9758e+09	1.8076	0.96013	0.039871	0.079742	0.3157	True
CSN2_38995	CSN2	845.34	101.54	845.34	101.54	-3.045	2.7662e+05	5.7494e+05	1.8046	0.035566	0.96443	0.071133	0.30429	False
TBR1_14586	TBR1	33060	83427	33060	83427	1.3354	1.2684e+09	7.7952e+08	1.804	0.95961	0.04039	0.08078	0.3157	True
OTOP1_41899	OTOP1	9134	1127.3	9134	1127.3	-3.0172	3.2054e+07	6.2048e+07	1.7987	0.036031	0.96397	0.072061	0.30496	False
CPSF2_4899	CPSF2	31192	3893.9	31192	3893.9	-3.0016	3.7259e+08	6.9521e+08	1.7974	0.036134	0.96387	0.072268	0.30496	False
TONSL_32400	TONSL	56374	7166.1	56374	7166.1	-2.9756	1.2107e+09	2.2276e+09	1.7907	0.036672	0.96333	0.073344	0.30496	False
UBTF_54881	UBTF	1485.5	186.51	1485.5	186.51	-2.9869	8.4368e+05	1.7421e+06	1.7846	0.037161	0.96284	0.074322	0.30658	False
C10orf53_61432	C10orf53	50400	1.2584e+05	50400	1.2584e+05	1.32	2.8453e+09	1.787e+09	1.7845	0.95792	0.042075	0.08415	0.31906	True
KRTAP13-1_31403	KRTAP13-1	32729	82058	32729	82058	1.326	1.2167e+09	7.6422e+08	1.7844	0.95784	0.042165	0.084329	0.31906	True
